"","member_casual","month","day_of_week","number_of_rides","avarage_duration"
"119","member","May","Saturday",50233,934.064957298987
"120","member","June","Sunday",60858,956.087277843325
"121","member","June","Monday",53893,778.701161059809
"122","member","June","Tuesday",57373,777.072052132983
"123","member","June","Wednesday",63271,832.913881857081
"124","member","June","Thursday",61355,811.421207268855
"125","member","June","Friday",55148,791.51289651453
"126","member","June","Saturday",57680,873.836579628762
"127","member","July","Sunday",41669,866.373489116992
"128","member","July","Monday",65977,766.769766221695
"129","member","July","Tuesday",71282,779.552000856039
"130","member","July","Wednesday",78111,791.965252896366
"131","member","July","Thursday",57782,825.612031723087
"132","member","July","Friday",57760,838.742521589095
"133","member","July","Saturday",55842,939.176269563639
"134","member","August","Sunday",49883,914.520482328826
"135","member","August","Monday",53695,758.53040756134
"136","member","August","Tuesday",57866,756.725483773124
"137","member","August","Wednesday",64209,768.595447023945
"138","member","August","Thursday",72363,755.002851567863
"139","member","August","Friday",71540,788.478482387067
"140","member","August","Saturday",67850,899.778753073084
"141","member","September","Sunday",57246,817.982029382056
"142","member","September","Monday",77493,713.54465244581
"143","member","September","Tuesday",65845,707.69352643292
"144","member","September","Wednesday",76350,703.852059869707
"145","member","September","Thursday",74427,711.306358687097
"146","member","September","Friday",65379,707.55905562946
"147","member","September","Saturday",57633,789.745921624474
"148","member","October","Sunday",41629,824.916798409265
"149","member","October","Monday",48866,682.458017189309
"150","member","October","Tuesday",66736,698.299978976776
"151","member","October","Wednesday",73023,697.344203552616
"152","member","October","Thursday",69505,686.50422601176
"153","member","October","Friday",52917,712.857334070083
"154","member","October","Saturday",47164,784.119878084764
"155","member","November","Sunday",28155,714.710202911738
"156","member","November","Monday",35504,621.219058838673
"157","member","November","Tuesday",37775,637.960371304278
"158","member","November","Wednesday",35767,648.035306511418
"159","member","November","Thursday",29173,672.453669557458
"160","member","November","Friday",42311,671.856097964698
"161","member","November","Saturday",33275,710.156691239534
"162","member","December","Sunday",16406,714.838163781381
"163","member","December","Monday",27731,651.882786015359
"164","member","December","Tuesday",25740,624.605969967607
"165","member","December","Wednesday",19999,618.105802789701
"166","member","December","Thursday",17845,622.149797255815
"167","member","December","Friday",16945,634.533778282744
"168","member","December","Saturday",15324,666.692790133046
